Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00019099,3.2032E-06,0.00069685,0,0,0,1.4859,0.0087701,6.5928E-18,2.8276E-16,0.010782,1.0923E-16,0.018628,0,0,0,0,0,0,package://z2/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://z2/meshes/base_link.STL,,base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,0.0503824103118781,-0.0220597745753663,-0.000222738445987152,0,0,0,0.318408894196719,0.000162280723308669,2.75568150885442E-06,1.59880254242103E-06,0.000262183181600326,-4.18303134237258E-07,0.000154172752118115,0,0,0,0,0,0,package://z2/meshes/FL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://z2/meshes/FL_hip.STL,,FL_hip^z2-1,坐标系13,基准轴13,FL_hip_joint,revolute,0.16,0.075,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
FL_thigh,-0.00710549662473547,0.00329450240465534,-0.0522930953206061,0,0,0,3.45314437991864,0.0113517866653738,-8.27145569656266E-06,0.00104327878159203,0.0126328694423824,-0.000103692309750502,0.00169552693679199,0,0,0,0,0,0,package://z2/meshes/FL_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://z2/meshes/FL_thigh.STL,,FL_thigh^z2-1,坐标系1,基准轴1,FL_thigh_joint,revolute,0.055,0.0842,0,0,0,0,FL_hip,0,-1,0,0,0,0,0,,,,,,,,
FL_calf,0.00812385396593995,0.000102774692363305,-0.099213419050334,0,0,0,0.765683789472789,0.004543722036356,-6.72566462560325E-09,-8.97318275973412E-05,0.00461582342785527,-8.5918529010106E-08,0.00013056704688318,0,0,0,0,0,0,package://z2/meshes/FL_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://z2/meshes/FL_calf.STL,,FL_calf^z2-1,坐标系2,基准轴2,FL_calf_joint,revolute,0,0.0147500000000026,-0.2,0,0,0,FL_thigh,0,-1,0,0,0,0,0,,,,,,,,
FL_foot,-0.00299243356572487,-3.16016914698181E-05,-0.00566848885200094,0,0,0,0.192750190362465,2.7432164130704E-05,-1.91661920579843E-08,-8.03748838887887E-06,3.97268979100495E-05,4.73579595469246E-09,3.81908443257217E-05,0,0,0,0,0,0,package://z2/meshes/FL_foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://z2/meshes/FL_foot.STL,,FL_foot^z2-1,坐标系3,,FL_foot_joint,fixed,0,0.0002,-0.21012,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.0506295896193412,0.0221700920182968,-0.000239048440101025,0,0,0,0.317536123411394,0.000162276174061597,-2.75581412178809E-06,1.59857257151141E-06,0.000262165431310018,4.18337279038191E-07,0.000154154835012845,0,0,0,0,0,0,package://z2/meshes/FR_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://z2/meshes/FR_hip.STL,,FR_hip^z2-1,坐标系14,基准轴14,FR_hip_joint,revolute,0.16,-0.075,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
FR_thigh,-0.00711252944568605,-0.00355016023923038,-0.0523322115422625,0,0,0,0.960304643414084,0.00315802390484732,1.46696911661564E-06,0.000289802865187012,0.00351517857370143,2.81977971592661E-05,0.000470251027211606,0,0,0,0,0,0,package://z2/meshes/FR_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://z2/meshes/FR_thigh.STL,,FR_thigh^z2-1,坐标系4,基准轴4,FR_thigh_joint,revolute,0.0550000000003493,-0.0839999999996373,0,0,0,0,FR_hip,0,-1,0,0,0,0,0,,,,,,,,
FR_calf,0.00812406845795255,-0.000102862103959073,-0.0992123823566046,0,0,0,0.213146170777263,0.00126485808000151,1.96396117238063E-09,-2.49795127946538E-05,0.00128492948142543,2.39839044657869E-08,3.63467219082847E-05,0,0,0,0,0,0,package://z2/meshes/FR_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://z2/meshes/FR_calf.STL,,FR_calf^z2-1,坐标系5,基准轴5,FR_calf_joint,revolute,0,-0.0149500000003568,-0.200000000000003,0,0,0,FR_thigh,0,-1,0,0,0,0,0,,,,,,,,
FR_foot,-0.00299244206462831,3.16436889519212E-05,-0.0056684753404655,0,0,0,0.0536568240449586,7.63643569348155E-06,5.29228434014338E-09,-2.23742242306977E-06,1.10589729572358E-05,-1.52205352615309E-09,1.06313682181599E-05,0,0,0,0,0,0,package://z2/meshes/FR_foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://z2/meshes/FR_foot.STL,,FR_foot^z2-1,坐标系6,,FR_foot_joint,fixed,0,-0.0002,-0.21012,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RL_hip,-0.0506618786956738,-0.0222817677445478,-0.000246878004721458,0,0,0,1.14376609307304,0.000583031090893917,-9.89973131868866E-06,-5.771099393949E-06,0.000941878484768097,-1.50219535327296E-06,0.000553799828080806,0,0,0,0,0,0,package://z2/meshes/RL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://z2/meshes/RL_hip.STL,,RL_hip-1,坐标系15,基准轴15,RL_hip_joint,revolute,-0.16,0.075,0.00069907,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
RL_thigh,-0.0071054728059993,0.00349447335675634,-0.0522930330294491,0,0,0,3.45314319311397,0.0113517404165287,-8.2605796107172E-06,0.00104326469409565,0.0126328284113368,-0.000103674371448482,0.00169550454880939,0,0,0,0,0,0,package://z2/meshes/RL_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://z2/meshes/RL_thigh.STL,,RL_thigh^z2-1,坐标系7,基准轴7,RL_thigh_joint,revolute,-0.0556458605337768,0.0839999999996406,-0.000267524192288754,0,0,0,RL_hip,0,-1,0,0,0,0,0,,,,,,,,
RL_calf,0.00812385362882473,0.000102774627210839,-0.0992134197497128,0,0,0,0.76568378380176,0.00454372202077035,-6.72619081193987E-09,-8.97318231109922E-05,0.00461582340914182,-8.59169934443118E-08,0.000130567043500093,0,0,0,0,0,0,package://z2/meshes/RL_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://z2/meshes/RL_calf.STL,,RL_calf^z2-1,坐标系8,基准轴8,RL_calf_joint,revolute,0,0.0149500000003623,-0.199999999999984,0,0,0,RL_thigh,0,-1,0,0,0,0,0,,,,,,,,
