Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.5586E-19,7.1229E-19,0,0,0,0,0.073394,7.5902E-06,-2.3832E-38,0,5.2382E-06,2.3545E-22,1.1605E-05,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/base_link.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/base_link.STL,,零件8-1,坐标系14,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shenzi,4.6426E-19,-2.7756E-17,2.7406E-17,0,0,0,5.36,0.031229,-7.0055E-18,3.8381E-18,0.040545,4.099E-18,0.057589,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/shenzi.STL,1,1,1,1,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/shenzi.STL,,躯干-1,坐标系15,基准轴13,jshenzi,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
zq1,-0.040294,-0.0010631,6.4131E-06,0,0,0,0.80054,0.0006593,3.4856E-05,4.4961E-08,0.0018933,-5.4577E-09,0.0017665,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/zq1.STL,1,1,1,1,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/zq1.STL,,镜向镜向肩关节-1,坐标系1,基准轴1,jzq1,revolute,0.22599,0.05,0,0,0,0,shenzi,-1,0,0,0,0,0,0,,,,,,,,
zq2,0.0030535,-0.015391,-0.04077,0,0,0,1.22,0.0065185,-5.7337E-05,0.0003428,0.0065088,0.00076556,0.0011022,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/zq2.STL,1,1,1,1,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/zq2.STL,,镜向镜向右大腿-1,坐标系2,基准轴2,jzq2,revolute,0,0.088241,0,0,0,0,zq1,0,1,0,0,0,0,0,,,,,,,,
zq3,-0.0088301,-1.0588E-06,-0.12441,0,0,0,0.53021,0.0038581,2.7391E-09,-0.00012713,0.0039325,8.2909E-08,0.00015529,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/zq3.STL,1,1,1,1,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/zq3.STL,,镜向镜向avw91c4cdf3-910a-40cc-a0da-9eecea7022f2-76-1,坐标系3,基准轴3,jzq3,revolute,0,0,-0.22023,0,0,0,zq2,0,0,0,0,0,0,0,,,,,,,,
yq1,-0.040294,0.0010631,6.4131E-06,0,0,0,0.80054,0.0006593,-3.4856E-05,4.4961E-08,0.0018933,5.4577E-09,0.0017665,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/yq1.STL,1,1,1,1,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/yq1.STL,,镜向肩关节-2,坐标系4,基准轴4,jyq1,revolute,0.22599,-0.05,0,0,0,0,shenzi,-1,0,0,0,0,0,0,,,,,,,,
yq2,0.0030535,0.015391,-0.04077,0,0,0,1.22,0.0065185,5.7337E-05,0.0003428,0.0065088,-0.00076556,0.0011022,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/yq2.STL,1,1,1,1,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/yq2.STL,,镜向右大腿-2,坐标系5,基准轴5,jyq2,revolute,0,-0.088241,0,0,0,0,yq1,0,-1,0,0,0,0,0,,,,,,,,
yq3,-0.0088301,1.0703E-06,-0.12441,0,0,0,0.53021,0.0038581,-2.6848E-09,-0.00012713,0.0039325,-8.2527E-08,0.00015529,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/yq3.STL,1,1,1,1,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/yq3.STL,,镜向avw91c4cdf3-910a-40cc-a0da-9eecea7022f2-76-2,坐标系6,基准轴6,jyq3,revolute,0,0,-0.22023,0,0,0,yq2,0,1,0,0,0,0,0,,,,,,,,
zh1,0.040294,-0.0010631,6.4131E-06,0,0,0,0.80054,0.0006593,-3.4856E-05,-4.4961E-08,0.0018933,-5.4577E-09,0.0017665,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/zh1.STL,1,1,1,1,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/zh1.STL,,镜向肩关节-1,坐标系7,基准轴7,jzh1,revolute,-0.22599,0.05,0,0,0,0,shenzi,1,0,0,0,0,0,0,,,,,,,,
zh2,-0.0030535,-0.015391,-0.04077,0,0,0,1.22,0.0065185,5.7337E-05,-0.0003428,0.0065088,0.00076556,0.0011022,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/zh2.STL,1,1,1,1,0,0,0,0,0,0,package://qianxihouzhouzu/meshes/zh2.STL,,镜向右大腿-1,坐标系8,基准轴8,jzh2,revolute,0,0.088241,0,0,0,0,zh1,0,1,0,0,0,0,0,,,,,,,,
